id;user_id;hotel_id;hotel_name;hotel_stars;city_tax;address;begin_date;end_date;price_per_night;includes_breakfast;room_details;rating;comment
Book0000000101;JorFaria;HTL101;Eiffel Tower View Hotel;4;2;101 Rue de la Tour Eiffel, Paris;2022/07/20;2022/07/19;220;true;Amenities: Air Conditioning;1;Easy access to tourist attractions.
Book0000000197;MCastro31;HTL505;;5;2;505 Carrer d'Enric Granados, Barcelona;2021/02/12;2021/02/16;300;true;Occupancy: 1 Guest;1;Highly recommended!
Book0000000299;AValente1155;;Colosseum View Hotel;4;3;301 Via di San Gregorio, Rome;2022/02/14;2022/02/16;200;true;Bathroom: Bathtub;2;An enjoyable stay overall.
;SofiAmaral-Teixeira;HTL802;Fashion District Suites;5;2;802 Via Montenapoleone, Milan;2023/05/20;2023/05/22;350;true;View: Garden View;2;
Book0000000398;GabriJesus;;Spree Riverfront Hotel;4;3;1404 Schiffbauerdamm, Berlin;2022/04/03;2022/04/06;200;true;Number of Beds: 1;2;Highly recommended!
Book0000000432;MadaleRamos185;HTL1404;;4;3;1404 Schiffbauerdamm, Berlin;2022/04/03;2022/04/04;200;true;Bathroom: Private;2;The check-in process was quick and easy.
Book0000000443;MarcoMatias882;HTL1202;Esplanadi Park Inn;3;3;1202 Pohjoisesplanadi, Helsinki;2022/07/13;2022/07/09;180;false;Bathroom: Private;2;
;JReis;HTL205;Plaza Mayor Hotel;4;2;205 Plaza Mayor, Madrid;2022/05/13;2022/05/17;190;true;Amenities: Coffee Maker;4;The check-in process was quick and easy.
Book0000000675;LucBatista1373;HTL204;Retiro Park Inn;3;2;;2022/12/03;2022/12/04;150;false;Room Type: Standard;4;
Book0000000719;SalTavares159;HTL1105;Josefov District Hotel;4;1;;2023/03/22;2023/03/25;240;true;Number of Beds: 1;1;
Book0000000762;ConsMartins1043;HTL1405;Kurfürstendamm Plaza Hotel;4;3;1405 Kurfürstendamm, Berlin;2022/04/15;2022/04/18;230;-25;Number of Beds: 2 Queen Beds;2;Family-friendly accommodations.
Book0000000777;DanieBatista;HTL1402;;3;3;1402 Alexanderplatz, Berlin;2022/04/15;2022/04/19;160;false;Room Size: 700 sq ft;4;Quiet and peaceful ambiance.
Book0000000930;SamLima1284;HTL1404;Spree Riverfront Hotel;4;3;;2021/04/13;2021/04/14;200;true;Room Type: Suite;2;We had a memorable experience at this hotel.
Book0000000946;Diana-ÉriRodrigues1395;HTL1002;Plaka Historic Inn;3;2;1002 Adrianou, Athens;2023/05/12;2023/05/10;160;false;Room Type: Suite;1;
Book0000000971;FranVaz4;HTL1003;Omonia Square Suites;2;-10;1003 Omonoia Square, Athens;2023/05/10;2023/05/14;120;false;Room Type: Standard;2;Easy access to tourist attractions.
;BCunha;HTL1004;Syntagma Plaza Hotel;4;2;1004 Syntagma Square, Athens;2023/05/10;2023/05/12;200;true;Room Size: 400 sq ft;4;
Book0000001034;PatríciLopes-Macedo1192;HTL1603;;3;4;303 Centrum, Warsaw;2022/05/12;2022/05/14;160;false;Amenities: TV;1;
Book0000001142;IvBranco;HTL903;Belém Riverside Hotel;4;2;;2022/12/09;2022/12/12;220;true;Room Type: Deluxe;3;
;MaFaria788;HTL705;Aker Brygge Waterfront Hotel;4;4;705 Stranden, Oslo;2021/11/11;2021/11/14;260;true;Bathroom: Shower;1;
Book0000001288;HPires801;HTL1502;;4;3;202 Bergweg, Munich;2023/06/17;2023/06/18;280;true;Room Size: 400 sq ft;4;
Book0000001293;LBaptista86;;Munich Lakeside Resort;4;3;204 Am Seeufer, Munich;2023/06/17;2023/06/21;320;true;Room Size: 700 sq ft;3;
Book0000001389;SebaCampos;HTL1401;Brandenburg Gate Hotel;4;3;1401 Pariser Platz, Berlin;2022|02|07;2022/02/09;220;TRUE;Bathroom: Ensuite;3;The hotel offered a complimentary shuttle service.
Book0000001504;SimGonçalves;HTL304;Copenhagen Harbor View Inn;-1;3;304 Havnegade, Copenhagen;2021/04/08;2021/04/12;320;true;Number of Beds: 1 King Bed;4;Our room had a fantastic view of the river.
;NelRamos;HTL903;Belém Riverside Hotel;4;2;903 Avenida de Brasília, Lisbon;2021/02/13;2021/02/15;220;true;Number of Beds: 1 King Bed;3;
Book0000001800;MelisGomes481;HTL1303;Port de Nice Suites;4;3;;2023/05/15;2023/05/17;220;true;Room Type: Executive Suite;3;The staff went above and beyond to make us feel welcome.
Book0000001817;GustBarbosa1653;HTL1302;Old Town District Inn;3;3;1302 Rue de la Préfecture, Nice;09:01:32 PM/15/02/2009;2023/05/16;180;false;View: Garden View;3;
Book0000001885;AMatias-Nogueira469;HTL1403;Prenzlauer Berg Inn;2;3;1403 Kastanienallee, Berlin;2023/03/09;2023/03/11;;false;Bathroom: Ensuite;4;We received a warm welcome upon arrival.
Book0000001895;IsaPires;HTL1402;Alexanderplatz Suites;3;3;1402 Alexanderplatz, Berlin;07:59:34 PM/02/05/2001;2023/03/12;160;F;Number of Beds: 1 King Bed;4;
Book0000002102;DuaSantos;HTL304;Roman Forum Inn;4;3;304 Via dei Fori Imperiali, Rome;2023/04/04;2023/04/08;;true;Bathroom: Ensuite;4;We will definitely return to this hotel.
Book0000002130;GiGomes26;;Vatican City Suites;5;3;302 Via della Conciliazione, Rome;2023/04/04;2023/04/07;320;true;Room Type: Executive Suite;4;
Book0000002149;RaquPinho;HTL202;;5;2;202 Plaza de Oriente, Madrid;2021/10/20;2021/10/24;280;true;Amenities: Air Conditioning;3;
;LucMacedo1638;HTL305;Vesterbro Comfort Suites;4;3;305 Vesterbrogade, Copenhagen;2022/08/17;2022/08/18;290;true;Occupancy: 4 Guests;2;
Book0000002266;EnTavares;HTL1205;Sörnäinen Waterfront Inn;3;-23;1205 Sörnäisten rantatie, Helsinki;2022/08/14;2022/08/15;160;true;Room Size: 300 sq ft;4;An enjoyable stay overall.
Book0000002292;BrRocha-Oliveira;HTL1204;Töölö Riverside Hotel;4;3;1204 Helsinginkatu, Helsinki;2022/08/14;2022/08/16;200;-23;Room Type: Deluxe;3;The hotel exceeded our expectations.
Book0000002314;AlexFreitas56;HTL303;Nørrebro Boutique Hotel;3;3;303 Nørrebrogade, Copenhagen;2021/01/16;2021/01/15;160;false;Room Type: Executive Suite;3;
Book0000002399;ÂngeLeal1617;;Schönbrunn Palace Hotel;4;4;605 Schönbrunner Schloßstraße, Vienna;2022/04/02;2022/04/05;210;true;View: Garden View;1;Well-appointed rooms with nice decor.
Book0000002491;MicOliveira;HTL1605;Warsaw Park View Hotel;4;4;305 Parkowa Aleja, Warsaw;2021/10/03;2021/10/01;310;true;Bathroom: Bathtub;1;The bar had a wide selection of drinks.
Book0000002558;LarisBorges;;Gran Vía View Hotel;4;2;203 Gran Vía, Madrid;2022/03/08;2022/03/10;210;true;Number of Beds: 2 Queen Beds;4;
Book0000002570;Erika-ÉLourenço;HTL203;;4;2;203 Gran Vía, Madrid;2022/03/08;2022/03/11;210;true;Occupancy: 2 Guests;4;
Book0000002588;JorgAntunes1903;HTL203;Gran Vía View Hotel;4;2;;2022/03/08;2022/03/12;210;true;View: City View;3;Spa facilities were top-notch.
Book0000002646;JTavares-Cunha;HTL1204;Töölö Riverside Hotel;4;-23;1204 Helsinginkatu, Helsinki;2021/08/10;2021/08/14;200;true;Amenities: Coffee Maker;2;The check-in process was quick and easy.
Book0000002699;AlGomes1147;HTL204;Retiro Park Inn;3;2;;2023/03/18;2023/03/22;150;false;Amenities: Coffee Maker;1;
Book0000002714;PatrNunes;;Retiro Park Inn;3;2;204 Calle de Alfonso XII, Madrid;2023/03/18;2023/03/19;150;false;Room Type: Standard;3;Quiet and peaceful ambiance.
Book0000002743;MicRamos599;HTL201;Puerta del Sol Hotel;4;2;;2022/09/11;2022/09/15;180;true;Occupancy: 3 Guests;3;The hotel restaurant had a diverse menu.
Book0000002746;NúrCampos1050;HTL205;Plaza Mayor Hotel;4;2;205 Plaza Mayor, Madrid;2022/09/11;2022/09/12;190;-4;Room Type: Executive Suite;2;The in-room amenities were a nice touch.
;KevNeves-Fonseca;HTL903;Belém Riverside Hotel;4;2;903 Avenida de Brasília, Lisbon;2022/02/06;2022/02/10;220;true;Number of Beds: 1 King Bed;1;Well-appointed rooms with nice decor.
Book0000002921;CaetanMaia;HTL905;Rossio Square Inn;4;2;905 Praça do Rossio, Lisbon;2022|12|17;2022/12/21;200;true;Occupancy: 1 Guest;1;
Book0000002940;CamilaMoura593;HTL905;Rossio Square Inn;4;2;905 Praça do Rossio, Lisbon;2022/12/20;2022/12/17;200;true;Room Size: 300 sq ft;1;The hotel restaurant had a diverse menu.
Book0000003029;JVaz-Carneiro867;HTL1302;Old Town District Inn;3;3;1302 Rue de la Préfecture, Nice;2022/04/15;2022/04/16;180;-1.1;Room Type: Executive Suite;1;The breakfast buffet was delicious.
Book0000003060;Alícia-LúRamos;HTL605;;4;4;605 Schönbrunner Schloßstraße, Vienna;2022/04/18;2022/04/19;210;true;Bathroom: Ensuite;2;
Book0000003133;LuOliveira103;HTL1402;Alexanderplatz Suites;-23;3;1402 Alexanderplatz, Berlin;2021/01/10;2021/01/13;160;false;Room Size: 500 sq ft;3;The check-in process was quick and easy.
Book0000003146;JAntunes1428;HTL1402;Alexanderplatz Suites;3;3;1402 Alexanderplatz, Berlin;2021/01/10;2021/01/13;;false;View: Mountain View;2;We had a lovely time at this hotel.
;EmíCarneiro1690;HTL302;Copenhagen Grand Palace;5;3;302 Kongens Nytorv, Copenhagen;2023/01/03;2023/01/07;380;true;Room Type: Standard;4;
Book0000003264;VítoRibeiro264;;Spanish Steps Plaza Hotel;4;3;305 Piazza di Spagna, Rome;2023/03/04;2023/03/05;210;true;Number of Beds: 2 Queen Beds;2;The in-room amenities were a nice touch.
Book0000003303;MarMonteiro1545;HTL304;Roman Forum Inn;4;3;304 Via dei Fori Imperiali, Rome;2022/07/08;2022/07/11;220;-25;Number of Beds: 1 King Bed;4;
Book0000003371;LaBarros-Reis1890;HTL605;Schönbrunn Palace Hotel;4;5.5;605 Schönbrunner Schloßstraße, Vienna;2021/09/22;2021/09/24;210;true;Room Size: 700 sq ft;2;
;CaroAlmeida916;HTL1503;Munich Central Inn;3;3;203 Innenstadtstraße, Munich;2022/04/12;2022/04/16;150;false;Amenities: Air Conditioning;1;
;NoPinto;HTL1102;Charles Bridge Suites;5;1;1102 Karlův most, Prague;2021/07/16;2021/07/20;350;true;Occupancy: 1 Guest;2;Staff was friendly and accommodating.
Book0000003631;LuSimões;HTL303;Nørrebro Boutique Hotel;3;3;303 Nørrebrogade, Copenhagen;2022/12/07;2022/12/11;160;-23;Number of Beds: 1 King Bed;3;Impressive lobby and amenities.
Book0000003702;MargariMatos1208;HTL301;Colosseum View Hotel;4;3;301 Via di San Gregorio, Rome;2021/12/09;2021/12/12;200;-25;Occupancy: 1 Guest;2;
Book0000003738;Helena-BFreitas;HTL303;Trevi Fountain Hotel;3;3;303 Piazza di Trevi, Rome;2021/12/09;2021/12/10;160;-23;Bathroom: Bathtub;2;Easy access to tourist attractions.
Book0000003766;FraAbreu;HTL801;Milan Cathedral Hotel;4;2;801 Piazza del Duomo, Milan;2022/10/09;2022/10/08;230;true;Room Type: Deluxe;3;Beautiful views from our room.
Book0000003780;FilipaDomingues;HTL803;Navigli Canal Inn;3;2;803 Ripa di Porta Ticinese, Milan;2022/10/11;2022/10/08;160;false;Occupancy: 2 Guests;4;Great hotel, excellent service!
Book0000003895;BrMachado1935;;Chiado Plaza Hotel;3;2;904 Rua Garrett, Lisbon;2022/06/15;2022/06/18;150;false;Amenities: Air Conditioning;2;
Book0000003935;Caetana-MarMartins1026;HTL1603;Warsaw Central Suites;3;4;303 Centrum, Warsaw;2023/06/13;2023/06/15;160;-1.1;Amenities: TV;2;
Book0000004023;DiCorreia;HTL903;Belém Riverside Hotel;4;2;903 Avenida de Brasília, Lisbon;2022/07/06;2022/07/05;220;true;Amenities: TV;4;
Book0000004052;DiPacheco934;HTL304;;4;3;304 Via dei Fori Imperiali, Rome;2023/01/14;2023/01/17;220;1;Bathroom: Ensuite;2;A fantastic place for a romantic getaway.
Book0000004151;GabLourenço-Almeida213;HTL101;Eiffel Tower View Hotel;4;2;101 Rue de la Tour Eiffel, Paris;2023/06/15;2023/06/18;220;-25;Occupancy: 3 Guests;3;Well-appointed rooms with nice decor.
Book0000004199;CFerreira;HTL1605;Warsaw Park View Hotel;4;4;305 Parkowa Aleja, Warsaw;2021/02/13;2021/02/10;310;true;Room Type: Deluxe;4;
Book0000004345;DiaAlves943;HTL903;Belém Riverside Hotel;4;2;903 Avenida de Brasília, Lisbon;09:42:35 PM/27/01/2011;2022/07/22;220;true;Room Size: 700 sq ft;4;
Book0000004398;InêHenriques;HTL901;Alfama District Hotel;3;2;901 Rua dos Bacalhoeiros, Lisbon;;2022/07/21;120;true;Room Size: 300 sq ft;1;We had a lovely time at this hotel.
Book0000004410;DiaBatista1597;HTL1303;Port de Nice Suites;4;3;1303 Quai des Docks, Nice;2023/04/20;2023/04/24;220;-1.1;Number of Beds: 2 Double Beds;3;
Book0000004477;LucaAntunes;HTL103;Montmartre Suites;3;-1;103 Rue de Montmartre, Paris;2022/05/07;2022/05/09;150;false;Bathroom: Bathtub;2;
Book0000004580;VíPinho;HTL902;;4;2;902 Rua da Rosa, Lisbon;2021/09/05;2021/09/06;190;true;Bathroom: Shower;3;The staff went above and beyond to make us feel welcome.
Book0000004617;CláudMaia;HTL1604;Warsaw Riverside Inn;4;4;304 Nad Wisłą, Warsaw;2022/06/14;2022/06/11;320;true;View: City View;4;Great hotel, excellent service!
Book0000004636;DéNascimento;HTL1403;Prenzlauer Berg Inn;2;3;1403 Kastanienallee, Berlin;19/07/2004;2022/06/13;120;false;Amenities: Free Wi-Fi;2;Great place to stay for business travelers.
Book0000004688;FCarneiro;HTL1603;Warsaw Central Suites;3;4;303 Centrum, Warsaw;03/09/2009;2022/07/08;160;false;Amenities: Air Conditioning;1;
Book0000004703;Rafaela-CamilCruz571;HTL1603;Warsaw Central Suites;3;4;;2022/07/07;2022/07/09;160;false;Occupancy: 1 Guest;1;
Book0000004737;JoeMaia1821;HTL901;Alfama District Hotel;3;2;901 Rua dos Bacalhoeiros, Lisbon;2023/01/13;2023/01/17;;true;Room Type: Suite;1;
;TPires1223;HTL204;Retiro Park Inn;3;2;204 Calle de Alfonso XII, Madrid;2023/02/02;2023/02/04;150;false;Room Type: Executive Suite;2;
Book0000004829;JoMendes;HTL502;Gothic Quarter Inn;3;2;502 Carrer de la Ciutat, Barcelona;2022|04|21;2022/04/24;150;false;Number of Beds: 1 King Bed;1;
Book0000004950;IvHenriques1639;;Louvre Palace Hotel;5;2;102 Rue du Louvre, Paris;2021/01/06;2021/01/09;300;true;Occupancy: 2 Guests;4;Beautiful views from our room.
Book0000004985;MelissBaptista904;HTL1102;Charles Bridge Suites;3.2;1;1102 Karlův most, Prague;2023/01/08;2023/01/10;350;true;Amenities: TV;2;A fantastic place for a romantic getaway.
;LaFaria;HTL202;Royal Palace Suites;5;2;202 Plaza de Oriente, Madrid;2021/09/17;2021/09/18;280;true;Number of Beds: 2 Queen Beds;2;
Book0000005178;ILeite;HTL1204;Töölö Riverside Hotel;4;3;1204 Helsinginkatu, Helsinki;2023/06/17;2023/06/20;;true;Occupancy: 4 Guests;2;The in-room amenities were a nice touch.
Book0000005207;PMagalhães1702;HTL1204;Töölö Riverside Hotel;4;3;1204 Helsinginkatu, Helsinki;2023/06/17;2023/06/18;;true;View: City View;1;
Book0000005379;CamilGarcia1727;HTL905;Rossio Square Inn;4;2;905 Praça do Rossio, Lisbon;2023/06/17;2023/06/18;;true;Bathroom: Private;1;The in-room amenities were a nice touch.
Book0000005519;MiriaMaia-Cruz1229;;Copenhagen Harbor View Inn;4;3;304 Havnegade, Copenhagen;2021/05/09;2021/05/10;320;true;Occupancy: 4 Guests;4;
Book0000005567;JMagalhães;HTL404;Museum Quarter Hotel;4;-1.1;404 Hobbemastraat, Amsterdam;2021/02/22;2021/02/26;180;true;Number of Beds: 1 King Bed;4;Close to shopping and dining options.
Book0000005636;LiFreitas3;HTL1604;;4;4;304 Nad Wisłą, Warsaw;2023/03/07;2023/03/09;320;true;Amenities: Coffee Maker;4;
Book0000005673;MiMoreira557;HTL401;;3;2;401 Prinsengracht, Amsterdam;2023/07/21;2023/07/23;150;true;View: City View;1;
Book0000005678;IvLeal1527;HTL405;Jordaan Riverside Hotel;3;2;405 Brouwersgracht, Amsterdam;2023/07/21;2023/07/24;170;-10;Amenities: Free Wi-Fi;4;
Book0000005764;IsAssunção1781;HTL1301;;4;3;1301 Promenade des Anglais, Nice;2023/01/12;2023/01/16;250;true;Bathroom: Bathtub;3;The hotel exceeded our expectations.
Book0000005785;NoCarneiro1857;HTL1403;;2;3;1403 Kastanienallee, Berlin;2022/07/17;2022/07/20;120;false;Room Size: 700 sq ft;1;
Book0000005799;MiBarbosa;HTL1405;Kurfürstendamm Plaza Hotel;4;3;;2022/07/17;2022/07/19;230;true;Room Size: 400 sq ft;4;
Book0000005820;ViMendes1499;HTL803;Navigli Canal Inn;3;2;;2021/12/15;2021/12/16;160;false;Number of Beds: 2;2;Great hotel, excellent service!
Book0000005830;MadaleAmaral29;HTL803;Navigli Canal Inn;3;2;;2021/12/15;2021/12/16;160;false;Bathroom: Bathtub;3;
Book0000005940;NúrFernandes;HTL1202;Esplanadi Park Inn;3;3;1202 Pohjoisesplanadi, Helsinki;2023/03/10;2023/03/12;;false;Amenities: Free Wi-Fi;1;Perfect location for exploring the city.
Book0000005958;MatVaz1137;HTL1204;Töölö Riverside Hotel;4;3;1204 Helsinginkatu, Helsinki;2023/03/12;2023/03/10;200;true;Room Size: 700 sq ft;3;Highly recommended!
;FPinho-Teixeira;HTL1201;Helsinki Harbor Hotel;4;3;1201 Katajanokanlaituri, Helsinki;2023/03/10;2023/03/12;240;true;Bathroom: Ensuite;4;
Book0000006052;JoCruz1539;HTL903;;4;2;903 Avenida de Brasília, Lisbon;2022/05/04;2022/05/08;220;true;Bathroom: Shower;1;
Book0000006104;YaNeto;HTL903;Belém Riverside Hotel;4;2;903 Avenida de Brasília, Lisbon;2021/07/19;2021/07/15;220;true;Bathroom: Shower;2;
Book0000006161;DaAbreu1507;HTL1005;Monastiraki Market Hotel;3;2;1005 Athinas, Athens;2022/05/09;2022/05/05;180;true;Number of Beds: 2 Double Beds;3;
Book0000006257;DaviTeixeira;;Esplanadi Park Inn;3;3;1202 Pohjoisesplanadi, Helsinki;2021/11/04;2021/11/05;180;false;Number of Beds: 1;1;
Book0000006339;DiaReis;HTL201;Puerta del Sol Hotel;5.5;2;201 Calle de Alcalá, Madrid;2022/07/06;2022/07/08;180;true;Room Type: Executive Suite;1;Good room service options.
Book0000006433;LúNascimento-Silva;HTL304;Roman Forum Inn;4;3;;2023/02/10;2023/02/13;220;true;Number of Beds: 2 Queen Beds;3;Good room service options.
Book0000006495;BFerreira;;Place Masséna Plaza Hotel;4;3;1305 Place Masséna, Nice;2023/05/06;2023/05/07;230;true;Number of Beds: 1;3;Great place to unwind after a busy day.
Book0000006623;ILeal;HTL702;Viking Heritage Inn;3;4;702 Karl Johans gate, Oslo;2022/02/21;2022/02/25;150;-1;Occupancy: 1 Guest;1;The rooftop bar has amazing cocktails.
Book0000006642;LuCorreia758;HTL703;Holmenkollen Lodge;3.2;4;703 Kongeveien, Oslo;2022/02/21;2022/02/23;350;true;Number of Beds: 2 Queen Beds;4;
Book0000006653;BenjJesus;;Fjord View Hotel;4;4;701 Akershusstranda, Oslo;2022/02/21;2022/02/22;220;true;Room Type: Deluxe;2;
Book0000006665;DNeto;HTL202;Royal Palace Suites;5;2;202 Plaza de Oriente, Madrid;2022/11/07;2022/11/11;;true;Bathroom: Shower;2;
Book0000006745;AlLima;HTL909;Danube River Hotel;4;2;909 Dunakorzó, Budapest;2021/04/03;2021/04/07;160;-25;Occupancy: 3 Guests;2;
Book0000006798;ÂBrito;HTL204;Retiro Park Inn;3;2;204 Calle de Alfonso XII, Madrid;2023/05/10;2023/05/11;150;-23;Bathroom: Shower;1;The hotel exceeded our expectations.
Book0000006812;KNeto;HTL202;Royal Palace Suites;5;2;202 Plaza de Oriente, Madrid;2023|05|10;2023/05/14;280;true;Bathroom: Bathtub;1;The fitness center had modern equipment.
;PDomingues1923;HTL605;Schönbrunn Palace Hotel;4;4;605 Schönbrunner Schloßstraße, Vienna;2023/07/11;2023/07/15;210;true;Occupancy: 3 Guests;4;
Book0000006891;AleMonteiro189;HTL605;Schönbrunn Palace Hotel;4;4;605 Schönbrunner Schloßstraße, Vienna;2023|07|11;2023/07/12;210;true;Room Size: 300 sq ft;4;
Book0000006951;GCarvalho;HTL1103;Wenceslas Square Inn;3;4.4;1103 Václavské náměstí, Prague;2021/01/11;2021/01/12;160;false;Amenities: Free Wi-Fi;3;
Book0000007007;CamiCastro;HTL501;Sagrada Familia Hotel;4;-23;501 Carrer de Mallorca, Barcelona;2023/07/13;2023/07/17;180;true;Room Type: Family Suite;1;
Book0000007008;NáOliveira497;HTL503;Barceloneta Beachfront Hotel;4;2;503 Passeig de Joan de Borbó, Barcelona;24/09/2010;2023/07/14;220;true;Room Type: Deluxe;1;
Book0000007010;EAmaral;HTL504;;4;2;504 Carrer d'Olot, Barcelona;2023/07/13;2023/07/14;200;true;Bathroom: Bathtub;2;
;AnCardoso1820;HTL701;Fjord View Hotel;4;4;701 Akershusstranda, Oslo;2021/09/21;2021/09/25;220;true;View: Garden View;3;
Book0000007230;JéssiAssunção-Lima65;;Port de Nice Suites;4;3;1303 Quai des Docks, Nice;2021/05/01;2021/05/05;220;true;View: City View;2;
Book0000007400;SaMorais1082;HTL203;Gran Vía View Hotel;4;2;203 Gran Vía, Madrid;2021/10/07;2021/10/03;210;true;Amenities: Coffee Maker;4;The bar had a wide selection of drinks.
